PubMed_id,entity,type
WP4532,Cytoplasmic dynein-1,Genes/Proteins (NCBI)
WP4532,Dynein-2,Genes/Proteins (NCBI)
WP4532,Microtubule,GO terms
WP4532,Axoneme,GO terms
WP4532,Eukaryotic cilia,Phenotypes (HPO) / GO terms
WP4532,Flagella,Phenotypes (HPO) / GO terms
WP4532,ATP-driven motor complexes,GO terms
WP4533,TGF-? (Transforming growth factor-?),Genes/Proteins (NCBI)
WP4533,Smad,Genes/Proteins (NCBI)
WP4533,Ski (Sloan-Kettering Institute),Genes/Proteins (NCBI)
WP4533,SnoN (Ski novel),Genes/Proteins (NCBI)
WP4533,R-Smad/Smad4 complexes,Genes/Proteins (NCBI)
WP4533,p300/CBP,Genes/Proteins (NCBI)
WP4533,TGF-?/Smad signaling pathway,Pathways (Reactome)
WP4533,Fibrosis,Diseases (MONDO)
WP4533,Cancer,Diseases (MONDO)
WP4534,Yes-associated protein (YAP),Genes/Proteins (NCBI)
WP4534,WW domain containing transcription regulator 1 (TAZ),Genes/Proteins (NCBI)
WP4534,Carcinogenesis,Diseases (MONDO)
WP4534,Cancer progression,Diseases (MONDO)
WP4534,"Embryonic development, organ size control, regeneration",Phenotypes (HPO)
WP4534,Hippo pathway,Pathways (Reactome)
WP4534,Non-Hippo mechanisms,Pathways (Reactome)
WP4535,Emery-Dreifuss muscular dystrophy (EDMD),Diseases (MONDO)
WP4535,Nuclear envelope proteins,Genes/Proteins (NCBI)
WP4535,Inner nuclear membrane proteins,Genes/Proteins (NCBI)
WP4535,Outer nuclear membrane proteins,Genes/Proteins (NCBI)
WP4535,Mechanotransduction,Pathways (Reactome)
WP4537,Cardiovascular disease,Diseases (MONDO)
WP4537,MST1/2,Genes/Proteins (NCBI)
WP4537,SAV1,Genes/Proteins (NCBI)
WP4537,LATS1/2,Genes/Proteins (NCBI)
WP4537,MOB1,Genes/Proteins (NCBI)
WP4537,YAP/TAZ,Genes/Proteins (NCBI)
WP4537,RASSF1A,Genes/Proteins (NCBI)
WP4537,Nf2 (Merlin),Genes/Proteins (NCBI)
WP4537,MAP4Ks,Genes/Proteins (NCBI)
WP4537,NDR1/2,Genes/Proteins (NCBI)
