source|target
Coprobacillus cateniformis|Parkinson disease
Streptococcus australis|Parkinson disease
Fusicatenibacter saccharivorans|Parkinson disease
Actinomyces sp. HPA0247|Parkinson disease
[Collinsella] massiliensis|Parkinson disease
Clostridium sp. CAG:299|Parkinson disease
Eubacterium sp. CAG:38|Parkinson disease
Bacteroides faecis CAG:32|Parkinson disease
Streptococcus mutans|Parkinson disease
Blautia hansenii|Parkinson disease
Streptococcus vestibularis|Parkinson disease
Enterococcus faecium|Parkinson disease
Candidatus Methanomassiliicoccus intestinalis|Parkinson disease
Eisenbergiella tayi|Parkinson disease
Klebsiella quasipneumoniae|Parkinson disease
Enorma massiliensis|Parkinson disease
Streptococcus lutetiensis|Parkinson disease
Ruminococcaceae bacterium D5|Parkinson disease
[Clostridium] innocuum|Parkinson disease
[Clostridium] leptum|Parkinson disease
Hungatella hathewayi|Parkinson disease
Turicibacter sanguinis|Parkinson disease
Ruthenibacterium lactatiformans|Parkinson disease
Lactobacillus gasseri|Parkinson disease
Limosilactobacillus reuteri|Parkinson disease
Megasphaera sp. MJR8396C|Parkinson disease
Limosilactobacillus fermentum|Parkinson disease
Ligilactobacillus salivarius|Parkinson disease
Segatella copri|Parkinson disease
Actinomyces naeslundii|Parkinson disease
Roseburia intestinalis|Parkinson disease
Bifidobacterium bifidum|Parkinson disease
Bifidobacterium breve|Parkinson disease
Bifidobacterium dentium|Parkinson disease
Eubacterium limosum|Parkinson disease
Streptococcus sp. A12|Parkinson disease
Megasphaera sp. DISK 18|Parkinson disease
Harryflintia acetispora|Parkinson disease
Acidaminococcus intestini|Parkinson disease
Lachnoclostridium sp. An131|Parkinson disease
Pseudoflavonifractor sp. An184|Parkinson disease
Lactobacillus paragasseri|Parkinson disease
Alistipes finegoldii|Parkinson disease
Bifidobacterium longum|Parkinson disease
Methanobrevibacter smithii|Parkinson disease
Dialister invisus|Parkinson disease
Scardovia wiggsiae|Parkinson disease
Christensenella hongkongensis|Parkinson disease
Streptococcus mitis|Parkinson disease
Porphyromonas asaccharolytica|Parkinson disease
Roseburia faecis|Parkinson disease
Ruminococcus bicirculans (ex Liu et al. 2021)|Parkinson disease
Enterococcus avium|Parkinson disease
Roseburia inulinivorans|Parkinson disease
Eubacterium ramulus|Parkinson disease
Agathobacter rectalis|Parkinson disease
Ruminococcus callidus|Parkinson disease
Blautia wexlerae|Parkinson disease
Rothia mucilaginosa|Parkinson disease
[Ruminococcus] lactaris|Parkinson disease
Lacticaseibacillus rhamnosus|Parkinson disease
Butyricicoccus pullicaecorum|Parkinson disease
Cloacibacillus evryensis|Parkinson disease
Eubacterium callanderi|Parkinson disease
Actinomyces oris|Parkinson disease
Escherichia coli|Parkinson disease
Klebsiella pneumoniae|Parkinson disease
Alistipes indistinctus|Parkinson disease
Christensenella minuta|Parkinson disease
Anaerostipes hadrus|Parkinson disease
Streptococcus anginosus group|Parkinson disease
Actinomyces sp. oral taxon 448|Parkinson disease
Bifidobacterium pullorum subsp. saeculare|Parkinson disease
Bifidobacterium pullorum subsp. gallinarum|Parkinson disease
Bifidobacterium pullorum|Parkinson disease
Parabacteroides distasonis|Parkinson disease
Faecalibacterium prausnitzii|Parkinson disease
[Clostridium] hylemonae|Parkinson disease
