term|term_label|term_id
YAP1|YAP1|http://purl.obolibrary.org/obo/PR_000017522
MM|MM|http://purl.obolibrary.org/obo/MONDO_0006292
CTGF|CTGF|http://purl.obolibrary.org/obo/PR_000003172
target genes|target genes|http://purl.obolibrary.org/obo/SO_0001867
mesothelial cells|mesothelial cells|http://purl.obolibrary.org/obo/CL_0000077
LATS1|LATS1|http://purl.obolibrary.org/obo/PR_000009686
gene|gene|http://purl.obolibrary.org/obo/SO_0000704
genes|genes|http://purl.obolibrary.org/obo/SO_0000704
tumor|tumor|http://purl.obolibrary.org/obo/MONDO_0005070
BAP1|BAP1|http://purl.obolibrary.org/obo/PR_000004641
BAP1|BAP1|http://purl.obolibrary.org/obo/PR_000014115
BAP1|BAP1|http://purl.obolibrary.org/obo/PR_000010083
CDKN2A|CDKN2A|http://purl.obolibrary.org/obo/PR_000029097
peritoneal cavities|peritoneal cavities|http://purl.obolibrary.org/obo/UBERON_0001179
Malignant mesothelioma|Malignant mesothelioma|http://purl.obolibrary.org/obo/MONDO_0006292
Malignant Mesothelioma|Malignant Mesothelioma|http://purl.obolibrary.org/obo/MONDO_0006292
