source_node,target_node,num_paths
LFA-1,RHOA,6
LFA-1,CCR7,1
LFA-1,LPL,1
LFA-1,Kindlin-3,3
LFA-1,RAB13,1
LFA-1,SKAP,1
LFA-1,RAP,1
LFA-1,ADAP,3
RAP,SKAP,1
RAP,ADAP,2
RAPL,RAP1,1
RAPL,RHOA,1
RAPL,CCR7,2
RAPL,RAB13,2
RAPL,SKAP,1
LFA-1,RAPL,1
YAP1,Blimp1,3
SAV1,LATS1,3
SAV1,MOB1,3
RAPL,Rac1,1
YAP1,TEAD1,9
YAP1,TEAD2,8
YAP1,TEAD3,8
YAP1,TEAD4,8
TEAD1,Blimp1,3
LFA-1,RAP1,6
RAP,Rac1,1
TEAD1,TEAD3,8
LFA-1,Rac1,6
TEAD1,TEAD4,8
TEAD2,Blimp1,3
TEAD2,TEAD3,8
TEAD2,TEAD4,8
TEAD3,Blimp1,4
TEAD3,TEAD4,9
TEAD4,Blimp1,4
TEAD1,TEAD2,8
RAPL,ADAP,2
Rac1,SKAP,1
FOXO6,FOXO1,1
FOXO6,FOXO3,1
FOXO6,NORE1B,1
FOXO6,miR-21,1517
FOXO4,FOXO1,25
FOXO4,FOXO3,25
SAV1,LATS2,3
FOXO4,NORE1B,1
FOXO1,FOXO3,32
FOXO1,NORE1B,1
FOXO1,miR-21,1
FOXO1,p38MAPK,7
FOXO3,NORE1B,2
FOXO3,miR-21,1
FOXO3,p38MAPK,8
FOXO6,FOXO4,1
RHOA,FOXO3,9
RHOA,FOXO1,9
NDR2,LFA-1,2
SKAP,RAB13,1
SKAP,RAP1,1
SKAP,ADAP,1
NDR1,Kindlin-3,2
NDR1,LFA-1,1
NDR1,NDR2,1
NDR2,Kindlin-3,2
Rac1,ADAP,4
RAP1,RHOA,14
RAP1,CCR7,3
RAP1,RAB13,1
RHOA,CCR7,4
RHOA,FOXO6,1
RHOA,FOXO4,10
SAV1,LFA-1,1
MST1,RAP,1
FOXO4,miR-21,5553
YAP,TEAD1,9
MST2,ADAP,1
YAP,TEAD4,8
YAP,YWHAQ,4
YWHAQ,YAP1,4
YWHAQ,TEAD1,3
YWHAQ,TEAD2,3
YWHAQ,TEAD3,4
YWHAQ,TEAD4,4
YAP,TEAD3,8
TAZ,TEAD1,4
TAZ,TEAD2,3
TAZ,TEAD3,3
TAZ,TEAD4,3
YWHAQ,TAZ,1
TAZ,Blimp1,1
YAP,TAZ,4
LATS1,TAZ,1
TAZ,YAP1,4
YAP,TEAD2,8
LATS2,YAP,3
FOXP3,MST1,3
FOXP3,MST2,1
FOXP3,FOXO6,1
FOXP3,FOXO4,1
FOXP3,FOXO1,3
FOXP3,p38MAPK,1
MST1,Rac1,2
LATS1,YAP,3
LATS1,LATS2,13
LATS1,MOB1,3
LATS1,NORE1B,1
LATS1,FOXO6,1
LATS1,FOXO4,2
LATS1,FOXO1,2
LATS1,YWHAQ,2
LATS1,miR-21,4620
LATS1,LFA-1,1
LATS2,YWHAQ,2
LATS2,MOB1,3
LATS1,FOXO3,2
MST1,SKAP,1
MST1,ADAP,1
MST2,LATS1,3
MST2,LATS2,3
MST2,MOB1,3
MST2,LFA-1,1
MST2,LPL,2
MST2,SAV1,3
MST2,FOXO6,1
MST2,FOXO1,2
FOXP3,FOXO3,2
MST2,FOXO3,2
MST2,RAP,1
MST2,RAPL,1
MST2,Rac1,2
MST2,SKAP,1
MST2,FOXO4,2
LATS2,TAZ,1
MST1,RAPL,1
MST1,FOXO3,3
MOB1,YAP,3
MOB1,YWHAQ,3
MOB1,TAZ,1
MOB1,LFA-1,2
MOB1,Kindlin-3,2
MOB1,NDR1,1
MOB1,NDR2,2
MST1,LATS1,2
LATS2,LFA-1,1
MST1,LATS2,2
MST1,LFA-1,2
MST1,MST2,2
MST1,LPL,2
MST1,SAV1,2
MST1,FOXO6,1
MST1,FOXO4,2
MST1,FOXO1,3
MST1,MOB1,3
NORE1B,miR-21,6
