,textlabel,graphid,groupref,centerX,centerY,width,height,color,database,databaseID,geometry
0,MAP/ERK Signaling,bff2b,,570.5,291.0,131.0,25.0,#14961e,Unknown,MAP/ERK Signaling,POINT (570.5 291)
1,H2A,c1121,,354.0,352.0,66.0,25.0,#None,Unknown,H2A,POINT (354 352)
2,H2AFB1,c52b6,d2e6f,390.5,672.0,65.0,25.0,#None,Ensembl,ENSG00000274183,POINT (390.5 672)
3,H3,d5da7,,160.401,400.24581005586595,51.335195530726196,25.0,#None,Unknown,H3,POINT (160.401 400.24581005586595)
4,H2AFB2,f74e4,d2e6f,390.5,697.0,65.0,25.0,#None,Ensembl,ENSG00000277858,POINT (390.5 697)
5,MAPK1,f18bc,f6748,836.2338935574229,278.7287339113801,56.86554621848744,25.0,#None,Entrez Gene,5594,POINT (836.2338935574229 278.7287339113801)
6,MAPK3,a404d,f6748,836.233893557423,303.7287339113801,56.865546218487374,25.0,#None,Entrez Gene,5595,POINT (836.233893557423 303.7287339113801)
7,DUSP6,dbd9e,,836.2338935574229,436.7287339113801,56.865546218487374,25.0,#None,Ensembl,ENSG00000139318,POINT (836.2338935574229 436.7287339113801)
8,MAPK1,e0f58,d0d4c,708.2338935574229,278.7287339113801,56.86554621848744,25.0,#None,Entrez Gene,5594,POINT (708.2338935574229 278.7287339113801)
9,MAPK3,e347e,d0d4c,708.233893557423,303.7287339113801,56.865546218487374,25.0,#None,Entrez Gene,5595,POINT (708.233893557423 303.7287339113801)
10,EED,b0940,fb219,136.2338935574229,310.7287339113801,56.865546218487374,25.0,#None,Ensembl,ENSG00000074266,POINT (136.2338935574229 310.7287339113801)
11,EZH2,a7bd9,fb219,145.2338935574229,335.7287339113801,56.865546218487374,25.0,#None,Ensembl,ENSG00000106462,POINT (145.2338935574229 335.7287339113801)
12,SUZ12,d33f9,fb219,188.9005602240896,323.7287339113801,48.19887955182082,25.0,#None,Ensembl,ENSG00000178691,POINT (188.9005602240896 323.7287339113801)
13,PCGF1,b9808,eed77,402.9005602240896,202.72873391138012,48.19887955182082,25.0,#None,Ensembl,ENSG00000115289,POINT (402.9005602240896 202.72873391138012)
14,BCOR,e4aba,eed77,435.90056022408953,227.72873391138012,48.19887955182082,25.0,#None,Ensembl,ENSG00000183337,POINT (435.90056022408953 227.72873391138012)
15,FBXL10,b5841,eed77,387.9005602240896,227.86436695569006,48.19887955182082,25.0,#None,Ensembl,ENSG00000089094,POINT (387.9005602240896 227.86436695569006)
16,BCL6,eada6,eed77,435.90056022408953,252.72873391138012,48.19887955182082,25.0,#None,Ensembl,ENSG00000113916,POINT (435.90056022408953 252.72873391138012)
17,DUSP6,d79b1,,612.2338935574229,437.7287339113801,56.865546218487374,25.0,#None,Ensembl,ENSG00000139318,POINT (612.2338935574229 437.7287339113801)
18,RNF2,a3bad,eed77,354.0,189.72873391138012,48.19887955182082,25.0,#None,Ensembl,ENSG00000121481,POINT (354 189.72873391138012)
19,H3F3A,d9ec5,a4d56,273.55399222853845,672.77879907095,61.68021680216797,25.0,#None,Ensembl,ENSG00000163041,POINT (273.55399222853845 672.77879907095)
20,H3F3B,c401a,a4d56,273.55399222853845,697.77879907095,61.68021680216797,25.0,#None,Ensembl,ENSG00000132475,POINT (273.55399222853845 697.77879907095)
21,HIST1H3D,f2f1e,a4d56,88.51334182203453,747.77879907095,61.68021680216797,25.0,#None,Ensembl,ENSG00000197409,POINT (88.51334182203453 747.77879907095)
22,HIST1H3J,da064,a4d56,150.1935586242025,772.77879907095,61.68021680216797,25.0,#None,Ensembl,ENSG00000197153,POINT (150.1935586242025 772.77879907095)
23,HIST2H3A,dba20,a4d56,211.87377542637049,672.77879907095,61.68021680216797,25.0,#None,Ensembl,ENSG00000203852,POINT (211.87377542637049 672.77879907095)
24,HIST2H3C,feb09,a4d56,211.8737754263705,697.77879907095,61.68021680216797,25.0,#None,Ensembl,ENSG00000203811,POINT (211.8737754263705 697.77879907095)
25,HIST2H3D,f54a9,a4d56,211.8737754263705,722.77879907095,61.68021680216797,25.0,#None,Ensembl,ENSG00000183598,POINT (211.8737754263705 722.77879907095)
26,HIST1H3C,e295c,a4d56,88.51334182203453,722.77879907095,61.68021680216797,25.0,#None,Ensembl,ENSG00000278272,POINT (88.51334182203453 722.77879907095)
