source_node,target_node,num_paths
TRPC3,Ca2+,15
PLCB1,PLCB2,26
PLCB1,PLCB3,27
PLCB1,PLCB4,12
PLCB2,IP3,20
PLCB2,DAG,7
PLCB2,PLCB3,26
PLCB2,PLCB4,11
PLCB3,IP3,20
PLCB3,DAG,7
PLCB3,PLCB4,12
PLCB1,DAG,7
PLCB3,GNA11,12
PLCB4,DAG,7
PRKCG,TRPC3,6
PRKCG,GRIA2,6
PRKCG,GRIA1,9
PRKCG,GRIA3,7
PRKCG,GRIA4,8
PDK1,PRKCG,1
PIP2,IP3,59
PIP2,DAG,45
GNA11,GNA15,18
PLCB4,IP3,10
GNA14,GNA15,17
PLCB1,IP3,20
IP3R1,Ca2+,39
CACNA1A,Ca2+,6
RYR3,Ca2+,6
GRIA2,Na+,7
GRIA2,GRIA1,10
GRIA2,GRIA3,9
GRIA2,GRIA4,9
GRIA1,Na+,8
Ca2+,PRKCG,29
IP3,IP3R1,39
GRIA1,GRIA3,13
GRIA3,GRIA4,12
GRIA4,Na+,7
GRM1,GNA14,5
ATP2B2,Ca2+,11
DAG,PRKCG,9
GNAQ,GNA11,21
GNAQ,GNA14,17
GNAQ,GNA15,17
GNA11,GNA14,17
GRIA1,GRIA4,13
GRIA3,Na+,7
IP3,PDK1,2
