S|P|O|S_ID|P_ID|O_ID
RAB3A|participates_in|Transmission across Chemical Synapses|http://www.ncbi.nlm.nih.gov/gene/5864|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-112315
voltage-dependent calcium channel gamma-3 subunit (human)|participates_in|Transmission across Chemical Synapses|http://purl.obolibrary.org/obo/PR_O60359|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-112315
voltage-dependent calcium channel gamma-3 subunit (human)|participates_in|transmission of nerve impulse|http://purl.obolibrary.org/obo/PR_O60359|http://purl.obolibrary.org/obo/RO_0000056|http://purl.obolibrary.org/obo/GO_0019226
neuron|capable of|transmission of nerve impulse|http://purl.obolibrary.org/obo/CL_0000540|http://purl.obolibrary.org/obo/RO_0002215|http://purl.obolibrary.org/obo/GO_0019226
sodium arsenite|interacts with|NDRG1|http://purl.obolibrary.org/obo/CHEBI_29678|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/10397
sodium arsenite|is substance that treats|Intellectual disability|http://purl.obolibrary.org/obo/CHEBI_29678|http://purl.obolibrary.org/obo/RO_0002606|http://purl.obolibrary.org/obo/HP_0001249
RAB11B|causes or contributes to condition|Intellectual disability|http://www.ncbi.nlm.nih.gov/gene/9230|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0001249
NDRG1|participates_in|Gene expression (Transcription)|http://www.ncbi.nlm.nih.gov/gene/10397|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-74160
CDKN2A|participates_in|Gene expression (Transcription)|http://www.ncbi.nlm.nih.gov/gene/1029|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-74160
CDKN2A|participates_in|Metabolism of proteins|http://www.ncbi.nlm.nih.gov/gene/1029|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-392499
RAB25|participates_in|Metabolism of proteins|http://www.ncbi.nlm.nih.gov/gene/57111|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-392499
sodium arsenite|molecularly interacts with|identical protein binding|http://purl.obolibrary.org/obo/CHEBI_29678|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/GO_0042802
prenylated Rab acceptor protein 1 (human)|has function|identical protein binding|http://purl.obolibrary.org/obo/PR_Q9UI14|http://purl.obolibrary.org/obo/RO_0000085|http://purl.obolibrary.org/obo/GO_0042802
prenylated Rab acceptor protein 1 (human)|has_gene_template|RABAC1|http://purl.obolibrary.org/obo/PR_Q9UI14|http://purl.obolibrary.org/obo/pr#has_gene_template|http://www.ncbi.nlm.nih.gov/gene/10567
aflatoxin B1|interacts with|RAB4A|http://purl.obolibrary.org/obo/CHEBI_2504|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/5867
aflatoxin B1|interacts with|SH3TC2|http://purl.obolibrary.org/obo/CHEBI_2504|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/79628
RAB4A|participates_in|Signal Transduction|http://www.ncbi.nlm.nih.gov/gene/5867|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-162582
RAB4B|participates_in|Signal Transduction|http://www.ncbi.nlm.nih.gov/gene/53916|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-162582
valproic acid|interacts with|RAB4A|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/5867
valproic acid|interacts with|RAB11B|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/9230
RAB4A|participates_in|Metabolism of proteins|http://www.ncbi.nlm.nih.gov/gene/5867|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-392499
reticulon-4 (human)|participates_in|Signal Transduction|http://purl.obolibrary.org/obo/PR_Q9NQC3|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-162582
reticulon-4 (human)|molecularly interacts with|prenylated Rab acceptor protein 1 (human)|http://purl.obolibrary.org/obo/PR_Q9NQC3|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/PR_Q9UI14
aflatoxin B1|interacts with|RHOJ (human)|http://purl.obolibrary.org/obo/CHEBI_2504|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/57381
RHOJ (human)|participates_in|Signal Transduction|http://www.ncbi.nlm.nih.gov/gene/57381|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-162582
SH3TC2|causes or contributes to condition|Charcot-Marie-Tooth disease type 4C|http://www.ncbi.nlm.nih.gov/gene/79628|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/MONDO_0011113
Charcot-Marie-Tooth disease type 4C|has phenotype|Intellectual disability|http://purl.obolibrary.org/obo/MONDO_0011113|http://purl.obolibrary.org/obo/RO_0002200|http://purl.obolibrary.org/obo/HP_0001249
aflatoxin B1|interacts with|CANX (human)|http://purl.obolibrary.org/obo/CHEBI_2504|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/821
CANX (human)|participates_in|Metabolism of proteins|http://www.ncbi.nlm.nih.gov/gene/821|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-392499
aflatoxin B1|molecularly interacts with|protein binding|http://purl.obolibrary.org/obo/CHEBI_2504|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/GO_0005515
prenylated Rab acceptor protein 1 (human)|has function|protein binding|http://purl.obolibrary.org/obo/PR_Q9UI14|http://purl.obolibrary.org/obo/RO_0000085|http://purl.obolibrary.org/obo/GO_0005515
RAB4B|participates_in|Metabolism of proteins|http://www.ncbi.nlm.nih.gov/gene/53916|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-392499
RAB11B|participates_in|Metabolism of proteins|http://www.ncbi.nlm.nih.gov/gene/9230|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-392499
RAB4B|has gene product|Ras-related protein Rab-4B (human)|http://www.ncbi.nlm.nih.gov/gene/53916|http://purl.obolibrary.org/obo/RO_0002205|http://purl.obolibrary.org/obo/PR_P61018
Ras-related protein Rab-4B (human)|molecularly interacts with|Ras-related protein Rab-7a (human)|http://purl.obolibrary.org/obo/PR_P61018|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/PR_P51149
Ras-related protein Rab-7a (human)|molecularly interacts with|prenylated Rab acceptor protein 1 (human)|http://purl.obolibrary.org/obo/PR_P51149|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/PR_Q9UI14
perfluorooctanoic acid|is substance that treats|Intellectual disability|http://purl.obolibrary.org/obo/CHEBI_35549|http://purl.obolibrary.org/obo/RO_0002606|http://purl.obolibrary.org/obo/HP_0001249
perfluorooctanoic acid|interacts with|prenylated Rab acceptor protein 1 (human)|http://purl.obolibrary.org/obo/CHEBI_35549|http://purl.obolibrary.org/obo/RO_0002434|http://purl.obolibrary.org/obo/PR_Q9UI14
RAB25|has gene product|Ras-related protein Rab-25 (human)|http://www.ncbi.nlm.nih.gov/gene/57111|http://purl.obolibrary.org/obo/RO_0002205|http://purl.obolibrary.org/obo/PR_P57735
