source|target|source_label|target_label|source_id|target_id
INOS|NO|INOS|NO|http://www.ncbi.nlm.nih.gov/gene/4843|http://purl.obolibrary.org/obo/CHEBI_16480
MMP8|MMP13|MMP8|MMP13|http://www.ncbi.nlm.nih.gov/gene/4317|http://www.ncbi.nlm.nih.gov/gene/4322
MMP10|MMP13|MMP10|MMP13|http://www.ncbi.nlm.nih.gov/gene/4319|http://www.ncbi.nlm.nih.gov/gene/4322
MMP10|MMP9|MMP10|MMP9|http://www.ncbi.nlm.nih.gov/gene/4319|http://www.ncbi.nlm.nih.gov/gene/4318
MMP23B|MMP19|MMP23B|MMP19|http://www.ncbi.nlm.nih.gov/gene/8510|http://www.ncbi.nlm.nih.gov/gene/4327
MMP11|MMP17|MMP11|MMP17|http://www.ncbi.nlm.nih.gov/gene/4320|http://www.ncbi.nlm.nih.gov/gene/4326
MMP10|MMP24|MMP10|MMP24|http://www.ncbi.nlm.nih.gov/gene/4319|http://www.ncbi.nlm.nih.gov/gene/10893
MMP11|MMP27|MMP11|MMP27|http://www.ncbi.nlm.nih.gov/gene/4320|http://www.ncbi.nlm.nih.gov/gene/64066
MMP8|MMP12|MMP8|MMP12|http://www.ncbi.nlm.nih.gov/gene/4317|http://www.ncbi.nlm.nih.gov/gene/4321
MMP11|MMP19|MMP11|MMP19|http://www.ncbi.nlm.nih.gov/gene/4320|http://www.ncbi.nlm.nih.gov/gene/4327
MMP2|MMP17|MMP2|MMP17|http://www.ncbi.nlm.nih.gov/gene/4313|http://www.ncbi.nlm.nih.gov/gene/4326
MMP1|MMP9|MMP1|MMP9|http://www.ncbi.nlm.nih.gov/gene/4312|http://www.ncbi.nlm.nih.gov/gene/4318
MMP2|MMP19|MMP2|MMP19|http://www.ncbi.nlm.nih.gov/gene/4313|http://www.ncbi.nlm.nih.gov/gene/4327
MMP11|MMP12|MMP11|MMP12|http://www.ncbi.nlm.nih.gov/gene/4320|http://www.ncbi.nlm.nih.gov/gene/4321
MMP11|MMP13|MMP11|MMP13|http://www.ncbi.nlm.nih.gov/gene/4320|http://www.ncbi.nlm.nih.gov/gene/4322
MMP11|MMP9|MMP11|MMP9|http://www.ncbi.nlm.nih.gov/gene/4320|http://www.ncbi.nlm.nih.gov/gene/4318
MMP11|MMP24|MMP11|MMP24|http://www.ncbi.nlm.nih.gov/gene/4320|http://www.ncbi.nlm.nih.gov/gene/10893
MMP10|MMP11|MMP10|MMP11|http://www.ncbi.nlm.nih.gov/gene/4319|http://www.ncbi.nlm.nih.gov/gene/4320
MMP1|MMP19|MMP1|MMP19|http://www.ncbi.nlm.nih.gov/gene/4312|http://www.ncbi.nlm.nih.gov/gene/4327
MMP8|MMP24|MMP8|MMP24|http://www.ncbi.nlm.nih.gov/gene/4317|http://www.ncbi.nlm.nih.gov/gene/10893
MMP10|MMP25|MMP10|MMP25|http://www.ncbi.nlm.nih.gov/gene/4319|http://www.ncbi.nlm.nih.gov/gene/64386
MMP24|MMP17|MMP24|MMP17|http://www.ncbi.nlm.nih.gov/gene/10893|http://www.ncbi.nlm.nih.gov/gene/4326
MMP9|MMP19|MMP9|MMP19|http://www.ncbi.nlm.nih.gov/gene/4318|http://www.ncbi.nlm.nih.gov/gene/4327
PRKCH|PRKCG|PRKCH|PRKCG|http://www.ncbi.nlm.nih.gov/gene/5583|http://www.ncbi.nlm.nih.gov/gene/5582
MMP2|MMP9|MMP2|MMP9|http://www.ncbi.nlm.nih.gov/gene/4313|http://www.ncbi.nlm.nih.gov/gene/4318
MMP7|MMP19|MMP7|MMP19|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/4327
MMP8|MMP9|MMP8|MMP9|http://www.ncbi.nlm.nih.gov/gene/4317|http://www.ncbi.nlm.nih.gov/gene/4318
MMP23B|MMP27|MMP23B|MMP27|http://www.ncbi.nlm.nih.gov/gene/8510|http://www.ncbi.nlm.nih.gov/gene/64066
MMP8|MMP25|MMP8|MMP25|http://www.ncbi.nlm.nih.gov/gene/4317|http://www.ncbi.nlm.nih.gov/gene/64386
MMP15|MMP27|MMP15|MMP27|http://www.ncbi.nlm.nih.gov/gene/4324|http://www.ncbi.nlm.nih.gov/gene/64066
MMP11|MMP25|MMP11|MMP25|http://www.ncbi.nlm.nih.gov/gene/4320|http://www.ncbi.nlm.nih.gov/gene/64386
MMP9|MMP24|MMP9|MMP24|http://www.ncbi.nlm.nih.gov/gene/4318|http://www.ncbi.nlm.nih.gov/gene/10893
MMP9|MMP12|MMP9|MMP12|http://www.ncbi.nlm.nih.gov/gene/4318|http://www.ncbi.nlm.nih.gov/gene/4321
MMP9|MMP13|MMP9|MMP13|http://www.ncbi.nlm.nih.gov/gene/4318|http://www.ncbi.nlm.nih.gov/gene/4322
MMP8|MMP17|MMP8|MMP17|http://www.ncbi.nlm.nih.gov/gene/4317|http://www.ncbi.nlm.nih.gov/gene/4326
MMP10|MMP12|MMP10|MMP12|http://www.ncbi.nlm.nih.gov/gene/4319|http://www.ncbi.nlm.nih.gov/gene/4321
MMP8|MMP27|MMP8|MMP27|http://www.ncbi.nlm.nih.gov/gene/4317|http://www.ncbi.nlm.nih.gov/gene/64066
MMP8|MMP14|MMP8|MMP14|http://www.ncbi.nlm.nih.gov/gene/4317|http://www.ncbi.nlm.nih.gov/gene/4323
