,textlabel,graphid,groupref,centerX,centerY,width,height,color,database,databaseID,geometry
0,"AKT 2
",a0160,f4fda,439.1666666666668,502.5595238095238,60.71428571428555,31.07142857142867,#None,Uniprot-TrEMBL,P31751,POINT (439.1666666666668 502.5595238095238)
1,"Tau (1-368) fragment
",a0b29,,876.5630952380947,723.6678571428575,122.15000000000009,34.75,#None,Unknown,"Tau (1-368) fragment
",POINT (876.5630952380947 723.6678571428575)
2,Alzheimer's disease,a2be8,,908.5,805.0,120.0,25.0,#0000ff,Wikidata,Q11081,POINT (908.5 805)
3,Amyloid-beta,a4b6b,,1068.395406729303,845.703043443347,90.0,25.0,#0000ff,ChEBI,CHEBI:64645,POINT (1068.395406729303 845.703043443347)
4,Prolegumain,a53c8,,865.238095238095,946.6666666666671,90.0,25.0,#None,Uniprot-TrEMBL,Q99538,POINT (865.238095238095 946.6666666666671)
5,Microtubule-associated protein tau,b5765,,829.1269841269835,654.2976190476192,195.0,31.5,#None,Uniprot-TrEMBL,P10636,POINT (829.1269841269835 654.2976190476192)
6,δ-secretase,b6e95,,343.9996532593633,406.25737787024275,118.74364308830383,65.9775389120046,#None,Uniprot-TrEMBL,Q99538,POINT (343.9996532593633 406.25737787024275)
7,APP,b73f1,,1066.9668353007307,732.8704729783988,90.0,25.0,#None,Uniprot-TrEMBL,P05067,POINT (1066.9668353007307 732.8704729783988)
8,PP2A,b7788,,396.6666666666654,603.8095238095239,90.0,25.0,#None,Uniprot-TrEMBL,P62714,POINT (396.6666666666654 603.8095238095239)
9,"STAT1
",b7c44,,571.1526433064302,788.9297062188025,90.0,31.6486087899255,#None,Uniprot-TrEMBL,P42224,POINT (571.1526433064302 788.9297062188025)
10,TrkB,b8468,,220.2507631257625,497.05128205128216,134.89529914529987,53.269230769230944,#None,Uniprot-TrEMBL,Q16620,POINT (220.2507631257625 497.05128205128216)
11,LGMN,b93db,,450.18608414239554,765.5536292186773,92.5589459084608,27.468793342580973,#None,Ensembl,ENSG00000100600,POINT (450.18608414239554 765.5536292186773)
12,BDNF,bfc98,,109.2133699633703,553.9893162393157,90.0,25.0,#None,Uniprot-TrEMBL,P23560,POINT (109.2133699633703 553.9893162393157)
13,"BACE1
",c1260,,571.1526433064302,845.703043443347,90.0,29.669651586588998,#None,Uniprot-TrEMBL,P56817,POINT (571.1526433064302 845.703043443347)
14,SET,c31e7,,689.1269841269848,452.84126984127,90.0,25.0,#None,Uniprot-TrEMBL,Q01105,POINT (689.1269841269848 452.84126984127)
15,AKT 3,ca487,f4fda,439.16666666666686,531.8452380952377,60.714285714285666,26.785714285714675,#None,Uniprot-TrEMBL,Q9Y243,POINT (439.16666666666686 531.8452380952377)
16,Microtubule-associated protein tau,ca5ec,,555.0995115995133,653.8168498168499,204.48473748473748,25.0,#None,Uniprot-TrEMBL,P10636,POINT (555.0995115995133 653.8168498168499)
17,δ-secretase ,cec39,,860.6845238095236,376.29166666666674,350.25,110.75,#None,Uniprot-TrEMBL,Q99538,POINT (860.6845238095236 376.29166666666674)
18,TDP-43 fragment,cf07c,,1092.371184371183,529.999084249081,111.58586402576998,20.192307692307793,#None,Unknown,TDP-43 fragment,POINT (1092.371184371183 529.999084249081)
19,α-synuclein (1-103) fragment,ddc80,,767.74007936508,190.62072649572696,176.58333333333303,23.20299145299135,#None,Unknown,α-synuclein (1-103) fragment,POINT (767.74007936508 190.62072649572696)
20,Dopamine,e3d1e,,946.8095238095236,91.07692307692292,90.0,25.0,#0000ff,ChEBI,CHEBI:18243,POINT (946.8095238095236 91.07692307692292)
21,C/EBP10A𝛽,e4db0,,361.9393971390355,803.7121074718193,90.0,25.0,#None,Uniprot-TrEMBL,P17676,POINT (361.9393971390355 803.7121074718193)
22,SRPK2 fragment,e9165,,562.9732221617708,325.805019081485,110.561492184396,25.0,#None,Unknown,SRPK2 fragment,POINT (562.9732221617708 325.805019081485)
