,anchor,arrow,Color,comments,edgeGroup,edgeID,geometry,node1_coords,node1_graphref,node1_x,node1_y,node2_coords,node2_graphref,node2_x,node2_y,matched_Node1_dist,matched_Node1,matched_Node2_dist,matched_Node2,matched_Node1_cat,matched_Node2_cat,matched_Node1_textlabel,matched_Node2_textlabel
0,[],['mim-stimulation'],#000000,[],,b4c38,"LINESTRING (1089.887500611535 752.3354465791303, 917.5485023358063 827.7188788128606)",POINT (1089.887500611535 752.3354465791303),c918b,1089.887500611535,752.3354465791303,POINT (917.5485023358063 827.7188788128606),f57f3,917.5485023358063,827.7188788128606,0.0,c918b,0.0,f57f3,,,"['RUNX2', 'COL10A1', 'MMP13', 'CEBPB']",Hypertrophy
1,[],['mim-catalysis'],#000000,[],,dbf8e,"LINESTRING (1043.9521428507107 336.81566099443404, 1130.7513819634664 335.94410579694585)",POINT (1043.9521428507107 336.81566099443404),ea42b,1043.9521428507107,336.81566099443404,POINT (1130.7513819634664 335.94410579694585),f2d45,1130.7513819634664,335.94410579694585,0.0,ea42b,0.0,f2d45,,,DIO2,f2d45
2,[],['mim-stimulation'],#000000,[],,dd612,"LINESTRING (1130.7513819634667 476.1150852242361, 1130.7513819634667 510.6150852242363)",POINT (1130.7513819634667 476.1150852242361),ec43d,1130.7513819634667,476.1150852242361,POINT (1130.7513819634667 510.6150852242363),bc3b2,1130.7513819634667,510.6150852242363,0.0,ec43d,0.0,bc3b2,,,EPAS1,CEBPB
3,[],['mim-stimulation'],#000000,[],,db7aa,"LINESTRING (721.4839016128983 580.6918158567787, 872.5485023358063 815.2188788128606)",POINT (721.4839016128983 580.6918158567787),b7354,721.4839016128983,580.6918158567787,POINT (872.5485023358063 815.2188788128606),f57f3,872.5485023358063,815.2188788128606,0.0,b7354,0.0,f57f3,,,Vascularization,Hypertrophy
4,[],['Arrow'],#000000,[],,a6853,"LINESTRING (1130.7513819634667 535.6150852242363, 1131.887500611535 659.3354465791303)",POINT (1130.7513819634667 535.6150852242363),bc3b2,1130.7513819634667,535.6150852242363,POINT (1131.887500611535 659.3354465791303),c918b,1131.887500611535,659.3354465791303,0.0,bc3b2,0.0,c918b,,,CEBPB,"['RUNX2', 'COL10A1', 'MMP13', 'CEBPB']"
5,[],['Arrow'],#000000,[],,dd655,"LINESTRING (628.2483157040028 238.4746447060777, 721.4839016128983 555.6918158567787)",POINT (628.2483157040028 238.4746447060777),f186e,628.2483157040028,238.4746447060777,POINT (721.4839016128983 555.6918158567787),b7354,721.4839016128983,555.6918158567787,0.0,f186e,0.0,b7354,,,DDR2,Vascularization
6,[],['mim-stimulation'],#000000,[],,f4fd9,"LINESTRING (987.6985577963524 679.4071705683025, 1008.5385412897817 679.2629671545671)",POINT (987.6985577963524 679.4071705683025),bbeff,987.6985577963524,679.4071705683025,POINT (1008.5385412897817 679.2629671545671),dc826,1008.5385412897817,679.2629671545671,0.0,bbeff,0.0,dc826,,,"['ARNT', 'HIF1A']","['GANC', 'COL2A1', 'ACAN', 'VEGFA']"
7,[],['mim-stimulation'],#000000,[],,e0dd1,"LINESTRING (1130.7513819634662 407.93763665600585, 1130.7513819634667 449.6150852242361)",POINT (1130.7513819634662 407.93763665600585),d9cab,1130.7513819634662,407.93763665600585,POINT (1130.7513819634667 449.6150852242361),ec43d,1130.7513819634667,449.6150852242361,0.0,d9cab,0.0,ec43d,,,Triiodothyronine,EPAS1
8,['aa96f'],['Arrow'],#000000,[],,ec6b4,"LINESTRING (816.3181281669633 325.9971453760229, 892.4621127398416 327.2622942449237)",POINT (816.3181281669633 325.9971453760229),b2da4,816.3181281669633,325.9971453760229,POINT (892.4621127398416 327.2622942449237),c640b,892.4621127398416,327.2622942449237,0.0,b2da4,0.0,c640b,,,Prolyl 4-hydroxylase,c640b
9,[],['mim-inhibition'],#000000,[],,ea98b,"LINESTRING (1067.685454419059 462.8650852242361, 1100.7513819634667 462.8650852242361)",POINT (1067.685454419059 462.8650852242361),b2431,1067.685454419059,462.8650852242361,POINT (1100.7513819634667 462.8650852242361),ec43d,1100.7513819634667,462.8650852242361,0.0,b2431,0.0,ec43d,,,CNMD,EPAS1
10,[],['mim-stimulation'],#000000,[],,fed85,"LINESTRING (282.54315772770246 225.9746447060777, 142.5455006650345 326.58979913568714)",POINT (282.54315772770246 225.9746447060777),b8122,282.54315772770246,225.9746447060777,POINT (142.5455006650345 326.58979913568714),d2c0b,142.5455006650345,326.58979913568714,0.0,b8122,0.0,d2c0b,,,KDR,PIK3CA
11,['c640b'],['mim-conversion'],#000000,[],,e3e40,"LINESTRING (892.4621127398416 291.3818115603417, 849.9998824535207 365.202837288565)",POINT (892.4621127398416 291.3818115603417),d405c,892.4621127398416,291.3818115603417,POINT (849.9998824535207 365.202837288565),e7534,849.9998824535207,365.202837288565,0.0,d405c,0.0,e7534,,,HIF1A,HIF1A
12,[],['mim-binding'],#000000,[],,ae4e0,"LINESTRING (220.00372399271888 99.06724820794796, 220.00372399271888 213.4746447060777)",POINT (220.00372399271888 99.06724820794796),c2fa3,220.00372399271888,99.06724820794796,POINT (220.00372399271888 213.4746447060777),e0349,220.00372399271888,213.4746447060777,0.0,c2fa3,0.0,e0349,,,NGF,NTRK1
13,[],['Arrow'],#000000,[],,ce707,"LINESTRING (906.428 167.5, 907.4621127398416 266.3818115603417)",POINT (906.428 167.5),db80c,906.428,167.5,POINT (907.4621127398416 266.3818115603417),d405c,907.4621127398416,266.3818115603417,0.0,db80c,0.0,d405c,,,Hypoxia,HIF1A
14,['f2d45'],['mim-conversion'],#000000,[],,aa5f1,"LINESTRING (1130.7513819634667 304.6150852242392, 1130.7513819634662 382.93763665600585)",POINT (1130.7513819634667 304.6150852242392),a9f13,1130.7513819634667,304.6150852242392,POINT (1130.7513819634662 382.93763665600585),d9cab,1130.7513819634662,382.93763665600585,0.0,a9f13,0.0,d9cab,,,L-thyroxine,Triiodothyronine
15,[],['Arrow'],#000000,[],,c3110,"LINESTRING (850.1666666666667 289.7777813314798, 850.0156675300132 326.55703732348326)",POINT (850.1666666666667 289.7777813314798),ca022,850.1666666666667,289.7777813314798,POINT (850.0156675300132 326.55703732348326),aa96f,850.0156675300132,326.55703732348326,0.0,ca022,0.0,aa96f,,,O2,aa96f
16,[],['mim-stimulation'],#000000,[],,b0668,"LINESTRING (616.7774110168593 572.6599877502051, 663.3258594917788 568.1918158567787)",POINT (616.7774110168593 572.6599877502051),ab21e,616.7774110168593,572.6599877502051,POINT (663.3258594917788 568.1918158567787),b7354,663.3258594917788,568.1918158567787,0.0,ab21e,0.0,b7354,,,VEGFA,Vascularization
17,[],['mim-stimulation'],#000000,[],,fbf8d,"LINESTRING (616.7774110168593 699.828828092526, 648.0960638178585 700.2161995053584)",POINT (616.7774110168593 699.828828092526),a97ac,616.7774110168593,699.828828092526,POINT (648.0960638178585 700.2161995053584),ecba9,648.0960638178585,700.2161995053584,0.0,a97ac,0.0,ecba9,,,NGF,"['Endothelial cell proliferation', 'Migration', 'Tube formation']"
18,[],['mim-stimulation'],#000000,[],,bd177,"LINESTRING (417.667647804657 744.7691739705374, 556.7774110168593 619.2992188433186)",POINT (417.667647804657 744.7691739705374),c0902,417.667647804657,744.7691739705374,POINT (556.7774110168593 619.2992188433186),ed88e,556.7774110168593,619.2992188433186,0.0,c0902,0.0,ed88e,,,"['JUND', 'JUNB', 'FOS', 'JUN', 'FOSL2', 'FOSL1', 'FOSB']",CCN2
19,[],['mim-stimulation'],#000000,[],,a3f88,"LINESTRING (501.89221518970476 624.1031901716563, 548.7774110168593 770.8433210220376)",POINT (501.89221518970476 624.1031901716563),c7327,501.89221518970476,624.1031901716563,POINT (548.7774110168593 770.8433210220376),ccf01,548.7774110168593,770.8433210220376,0.0,c7327,0.0,ccf01,,,"['RELA', 'NFKB1', 'RELB']","['IBSP', 'SPP1']"
20,[],['mim-stimulation'],#000000,[],,bd3a4,"LINESTRING (501.89221518970476 624.1031901716563, 556.7774110168593 572.6599877502051)",POINT (501.89221518970476 624.1031901716563),c7327,501.89221518970476,624.1031901716563,POINT (556.7774110168593 572.6599877502051),ab21e,556.7774110168593,572.6599877502051,0.0,c7327,0.0,ab21e,,,"['RELA', 'NFKB1', 'RELB']",VEGFA
21,[],['mim-stimulation'],#000000,[],,d4690,"LINESTRING (501.89221518970476 624.1031901716563, 556.7774110168593 631.7992188433186)",POINT (501.89221518970476 624.1031901716563),c7327,501.89221518970476,624.1031901716563,POINT (556.7774110168593 631.7992188433186),ed88e,556.7774110168593,631.7992188433186,0.0,c7327,0.0,ed88e,,,"['RELA', 'NFKB1', 'RELB']",CCN2
22,[],['mim-stimulation'],#000000,[],,a165b,"LINESTRING (342.54315772770246 225.9746447060777, 412.92153668986475 408.1245791009072)",POINT (342.54315772770246 225.9746447060777),b8122,342.54315772770246,225.9746447060777,POINT (412.92153668986475 408.1245791009072),cfbeb,412.92153668986475,408.1245791009072,0.0,b8122,0.0,cfbeb,,,KDR,"['MAPK3', 'MAPK1']"
23,[],['mim-binding'],#000000,[],,dc090,"LINESTRING (312.54315772770246 101.75181196633719, 312.54315772770246 213.4746447060777)",POINT (312.54315772770246 101.75181196633719),a0997,312.54315772770246,101.75181196633719,POINT (312.54315772770246 213.4746447060777),b8122,312.54315772770246,213.4746447060777,0.0,a0997,0.0,b8122,,,VEGFA,KDR
24,[],['mim-stimulation'],#000000,[],,a70f6,"LINESTRING (417.667647804657 744.7691739705374, 556.7774110168593 693.578828092526)",POINT (417.667647804657 744.7691739705374),c0902,417.667647804657,744.7691739705374,POINT (556.7774110168593 693.578828092526),a97ac,556.7774110168593,693.578828092526,0.0,c0902,0.0,a97ac,,,"['JUND', 'JUNB', 'FOS', 'JUN', 'FOSL2', 'FOSL1', 'FOSB']",NGF
25,[],['mim-stimulation'],#000000,[],,b398b,"LINESTRING (501.89221518970476 624.1031901716563, 556.7774110168593 706.078828092526)",POINT (501.89221518970476 624.1031901716563),c7327,501.89221518970476,624.1031901716563,POINT (556.7774110168593 706.078828092526),a97ac,556.7774110168593,706.078828092526,0.0,c7327,0.0,a97ac,,,"['RELA', 'NFKB1', 'RELB']",NGF
26,[],['mim-stimulation'],#000000,[],,f4784,"LINESTRING (624.7774110168593 770.8433210220376, 648.0960638178585 745.7161995053584)",POINT (624.7774110168593 770.8433210220376),ccf01,624.7774110168593,770.8433210220376,POINT (648.0960638178585 745.7161995053584),ecba9,648.0960638178585,745.7161995053584,0.0,ccf01,0.0,ecba9,,,"['IBSP', 'SPP1']","['Endothelial cell proliferation', 'Migration', 'Tube formation']"
27,[],['mim-stimulation'],#000000,[],,b08d6,"LINESTRING (342.54315772770246 225.9746447060777, 422.92153668986475 332.8372765234608)",POINT (342.54315772770246 225.9746447060777),b8122,342.54315772770246,225.9746447060777,POINT (422.92153668986475 332.8372765234608),c5599,422.92153668986475,332.8372765234608,0.0,b8122,0.0,c5599,,,KDR,JAK2
28,[],['mim-stimulation'],#000000,[],,f409f,"LINESTRING (342.54315772770246 225.9746447060777, 422.9215366898643 263.83914008770716)",POINT (342.54315772770246 225.9746447060777),b8122,342.54315772770246,225.9746447060777,POINT (422.9215366898643 263.83914008770716),d5e74,422.9215366898643,263.83914008770716,0.0,b8122,0.0,d5e74,,,KDR,PRKCA
29,[],['mim-stimulation'],#000000,[],,d3ceb,"LINESTRING (312.54315772770246 238.4746447060777, 417.89221518970476 624.1031901716563)",POINT (312.54315772770246 238.4746447060777),b8122,312.54315772770246,238.4746447060777,POINT (417.89221518970476 624.1031901716563),c7327,417.89221518970476,624.1031901716563,0.0,b8122,0.0,c7327,,,KDR,"['RELA', 'NFKB1', 'RELB']"
