source|target
Sparc|Cell adhesion
Sparc|PAI-1
Sparc|Periostin
POSTN|Periostin
Periostin|ECM degradation
Periostin|Sparc
14-3-3|TAZ
14-3-3|Smad2
14-3-3|Smad3
14-3-3|Smad4
TAZ|CNN2
TAZ|POSTN
TAZ|SERPINE1
TAZ|SPARC
TAZ|TAZ
TAZ|Smad2
TAZ|Smad3
TAZ|Smad4
TAZ|14-3-3
Smad2|CNN2
Smad2|POSTN
Smad2|SERPINE1
Smad2|SPARC
Smad2|TAZ
Smad2|Smad2
Smad2|Smad3
Smad2|Smad4
Smad2|TGFβ-II-R
Smad3|CNN2
Smad3|POSTN
Smad3|SERPINE1
Smad3|SPARC
Smad3|TAZ
Smad3|Smad2
Smad3|Smad3
Smad3|Smad4
Smad4|CNN2
Smad4|POSTN
Smad4|SERPINE1
Smad4|SPARC
Smad4|TAZ
Smad4|Smad2
Smad4|Smad3
Smad4|Smad4
CNN2|CTFG
ECM proteins|ECM proteins
SERPINE1|PAI-1
SPARC|Sparc
PAI-1|Proliferation
PAI-1|Sparc
CTFG|Migration
TGFβ-I-R|Smad2
TGFβ-I-R|Smad3
TGFβ-I-R|TGFβ-II-R
TGFβ-I-R|TGFβ-III-R
TGF-β|TGFβ-II-R
TGFβ-II-R|TGFβ-I-R
TGFβ-II-R|Smad2
TGFβ-II-R|TGF-β
TGFβ-II-R|TGFβ-III-R
TGFβ-III-R|TGFβ-I-R
TGFβ-III-R|TGFβ-II-R
