Curie,Uri
DRUGBANK:DB00118,http://purl.obolibrary.org/obo/DRUGBANK_DB00118
GO:0004872,http://purl.obolibrary.org/obo/GO_0004872
GO:0016265,http://purl.obolibrary.org/obo/GO_0016265
GO:0044421,http://purl.obolibrary.org/obo/GO_0044421
MOP:0000543,http://purl.obolibrary.org/obo/MOP_0000543
DRUGBANK:DB09145,http://purl.obolibrary.org/obo/DRUGBANK_DB09145
GO:0004871,http://purl.obolibrary.org/obo/GO_0004871
MOP:0000568,http://purl.obolibrary.org/obo/MOP_0000568
PR:000029045,http://purl.obolibrary.org/obo/PR_000029045
SO:0001679,http://purl.obolibrary.org/obo/SO_0001679
GO:0044708,http://purl.obolibrary.org/obo/GO_0044708
DRUGBANK:DB09140,http://purl.obolibrary.org/obo/DRUGBANK_DB09140
DRUGBANK:DB09341,http://purl.obolibrary.org/obo/DRUGBANK_DB09341
DRUGBANK:DB01373,http://purl.obolibrary.org/obo/DRUGBANK_DB01373
DRUGBANK:DB00898,http://purl.obolibrary.org/obo/DRUGBANK_DB00898
DRUGBANK:DB06154,http://purl.obolibrary.org/obo/DRUGBANK_DB06154
DRUGBANK:DB00117,http://purl.obolibrary.org/obo/DRUGBANK_DB00117
DRUGBANK:DB10632,http://purl.obolibrary.org/obo/DRUGBANK_DB10632
NCBITaxon:9984,http://purl.obolibrary.org/obo/NCBITaxon_9984
DRUGBANK:DB09337,http://purl.obolibrary.org/obo/DRUGBANK_DB09337
DRUGBANK:DB04540,http://purl.obolibrary.org/obo/DRUGBANK_DB04540
DRUGBANK:DB09278,http://purl.obolibrary.org/obo/DRUGBANK_DB09278
DRUGBANK:DB00134,http://purl.obolibrary.org/obo/DRUGBANK_DB00134
GO:0097617,http://purl.obolibrary.org/obo/GO_0097617
GO:0097458,http://purl.obolibrary.org/obo/GO_0097458
DRUGBANK:DB12938,http://purl.obolibrary.org/obo/DRUGBANK_DB12938
DRUGBANK:DB09393,http://purl.obolibrary.org/obo/DRUGBANK_DB09393
PR:000029055,http://purl.obolibrary.org/obo/PR_000029055
DRUGBANK:DB00135,http://purl.obolibrary.org/obo/DRUGBANK_DB00135
MOP:0000779,http://purl.obolibrary.org/obo/MOP_0000779
DRUGBANK:DB11017,http://purl.obolibrary.org/obo/DRUGBANK_DB11017
MOP:0000566,http://purl.obolibrary.org/obo/MOP_0000566
MOP:0000800,http://purl.obolibrary.org/obo/MOP_0000800
MOP:0000458,http://purl.obolibrary.org/obo/MOP_0000458
