Pathway_ID,Algorithm,Node,IDF
WP5283,CosineSimilarity,INOS,nan
WP5283,CosineSimilarity,NO,11.2411157
WP5283,CosineSimilarity,"asparagine--tRNA ligase, cytoplasmic (human)",nan
WP5283,CosineSimilarity,e-,nan
WP5283,CosineSimilarity,ROS,nan
WP5283,CosineSimilarity,mitogen-activated protein kinase 3 (human),nan
WP5283,CosineSimilarity,ATP,11.0997765
WP5283,CosineSimilarity,Fructose,nan
WP5283,CosineSimilarity,amino sugar,12.5854006
WP5283,CosineSimilarity,AGE,nan
WP5283,CosineSimilarity,anthocyanin cation,14.4699418
WP5283,CosineSimilarity,AGER (human),nan
WP5283,CosineSimilarity,N-glycosyl compound,10.2119678
WP5283,CosineSimilarity,uracil octosyl acid 5'-phosphate,nan
WP5283,CosineSimilarity,methyl dihydrogen phosphate,nan
WP5283,CosineSimilarity,NADPH,12.8439746
WP5283,CosineSimilarity,Glucose,9.7506992
WP5283,CosineSimilarity,cellular tumor antigen p53 (human),nan
WP5283,CosineSimilarity,protein kinase C theta type (human),nan
WP5283,CosineSimilarity,protein kinase C zeta type (human),nan
WP5283,CosineSimilarity,protein kinase C delta type (human),nan
WP5283,CosineSimilarity,protein kinase C eta type (human),nan
WP5283,CosineSimilarity,protein kinase C iota type (human),nan
WP5283,CosineSimilarity,protein kinase C epsilon type (human),nan
WP5283,CosineSimilarity,protein kinase C gamma type (human),nan
WP5283,CosineSimilarity,serine/threonine-protein kinase D3 (human),nan
WP5283,CosineSimilarity,protein kinase C alpha type (human),nan
WP5283,CosineSimilarity,protein kinase C beta type (human),nan
WP5283,CosineSimilarity,proton-coupled folate transporter (human),nan
WP5283,CosineSimilarity,"Sorbitol 
dehydrogenase",nan
WP5283,CosineSimilarity,sorbitol dehydrogenase (human),nan
WP5283,CosineSimilarity,NADH(2-),nan
WP5283,CosineSimilarity,O2- radical,nan
WP5283,CosineSimilarity,Glut-1,nan
WP5283,CosineSimilarity,Glut-3,nan
WP5283,CosineSimilarity,NMDA,16.2617013
WP5283,CosineSimilarity,Ca2+,nan
WP5283,CosineSimilarity,NAD(+),nan
WP5283,CosineSimilarity,TRPV1,nan
WP5283,CosineSimilarity,TRPA1,nan
WP5283,CosineSimilarity,MMP7,nan
WP5283,CosineSimilarity,MMP28,nan
WP5283,CosineSimilarity,MMP15,nan
WP5283,CosineSimilarity,MMP16,nan
WP5283,CosineSimilarity,MMP3,nan
WP5283,CosineSimilarity,MMP23B,nan
WP5283,CosineSimilarity,MMP20,nan
WP5283,CosineSimilarity,MMP1,nan
WP5283,CosineSimilarity,MMP2,nan
WP5283,CosineSimilarity,MMP10,nan
WP5283,CosineSimilarity,MMP11,nan
WP5283,CosineSimilarity,MMP8,nan
WP5283,CosineSimilarity,MMP9,nan
WP5283,CosineSimilarity,MMP13,nan
WP5283,CosineSimilarity,MMP12,nan
WP5283,CosineSimilarity,MMP24,nan
WP5283,CosineSimilarity,MMP21,nan
WP5283,CosineSimilarity,MMP14,nan
WP5283,CosineSimilarity,MMP25,nan
WP5283,CosineSimilarity,MMP19,nan
WP5283,CosineSimilarity,MMP27,nan
WP5283,CosineSimilarity,MMP17,nan
WP5283,CosineSimilarity,aflatoxin B1,nan
WP5283,CosineSimilarity,valproic acid,13.4891126
WP5283,CosineSimilarity,PRKCQ,nan
WP5283,CosineSimilarity,PRKCZ,nan
WP5283,CosineSimilarity,PRKCD,nan
WP5283,CosineSimilarity,PRKCH,nan
WP5283,CosineSimilarity,PRKCI,nan
WP5283,CosineSimilarity,PRKCE,nan
WP5283,CosineSimilarity,PRKCG,nan
WP5283,CosineSimilarity,PRKD3,nan
WP5283,CosineSimilarity,PRKCA,nan
WP5283,CosineSimilarity,PRKCB,nan
WP5283,CosineSimilarity,pesticide,8.2919977
WP5283,CosineSimilarity,essential hypertension,11.2054555
WP5283,CosineSimilarity,protein binding,2.7849984
WP5283,CosineSimilarity,DNA Double Strand Break Response,nan
WP5283,CosineSimilarity,Cellular Senescence,nan
WP5283,CosineSimilarity,mitogen-activated protein kinase 3 (human),nan
WP5283,CosineSimilarity,response to biotic stimulus,6.3210143
WP5283,CosineSimilarity,carbohydrate derivative,9.2980384
WP5283,CosineSimilarity,Hyperglycemia,nan
WP5283,CosineSimilarity,N-glycosyl compound,10.2119678
