S|P|O
Ca 2+|participates_in|CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde
CAMK2B (human)|participates_in|CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde
MTOR|participates_in|PKB-mediated events
RPTOR (human)|participates_in|PKB-mediated events
rapamycin|is substance that treats|mesothelioma
MTOR|causes or contributes to condition|mesothelioma
NTRK2|causes or contributes to condition|mixed glioma
HRAS|causes or contributes to condition|mixed glioma
NTRK2|causes or contributes to condition|pilomyxoid astrocytoma
KRAS|causes or contributes to condition|pilomyxoid astrocytoma
NTRK2|causes or contributes to condition|Neuroblastoma
NRAS|causes or contributes to condition|Neuroblastoma
NTRK2|causes or contributes to condition|Glioma
PIK3CA|causes or contributes to condition|Glioma
NTRK2|participates_in|Signaling by NTRK1 (TRKA)
PIK3CB|participates_in|Signaling by NTRK1 (TRKA)
PIK3R2|participates_in|Signaling by NTRK1 (TRKA)
MAPK3|causes or contributes to condition|Squamous cell carcinoma
TSC1|causes or contributes to condition|Squamous cell carcinoma
RPS6KB1 (human)|participates_in|PKB-mediated events
AKT2|participates_in|AKT-mediated inactivation of FOXO1A
AKT3|participates_in|AKT-mediated inactivation of FOXO1A
HRAS|participates_in|CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling
MAPK1|participates_in|CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling
HRAS|causes or contributes to condition|Linear nevus sebaceous
NRAS|causes or contributes to condition|Linear nevus sebaceous
KRAS|participates_in|Signaling by FGFR3
MAPK3|participates_in|Signaling by FGFR3
MAPK1|participates_in|Signaling by FGFR3
KRAS|causes or contributes to condition|Linear nevus sebaceous
NRAS|participates_in|Signaling by FGFR3
AKT2|participates_in|Inhibition of TSC complex formation by PKB
TSC1|participates_in|Inhibition of TSC complex formation by PKB
AKT1|participates_in|AKT-mediated inactivation of FOXO1A
PIK3R1|causes or contributes to condition|Glioma
HRAS|participates_in|Signaling by FGFR3
BDNF|causes or contributes to condition|Status epilepticus without prominent motor symptoms
NTRK2|causes or contributes to condition|Status epilepticus without prominent motor symptoms
PIK3CB|participates_in|Tie2 Signaling
PIK3R1|participates_in|Tie2 Signaling
PIK3R2|participates_in|CD28 dependent PI3K/Akt signaling
AKT2|participates_in|CD28 dependent PI3K/Akt signaling
MAPK1|participates_in|IRS-mediated signalling
TSC1|participates_in|IRS-mediated signalling
CACNA1C|participates_in|Phase 2 - plateau phase
Ca 2+|participates_in|Phase 2 - plateau phase
GRM1|participates_in|Gastrin-CREB signalling pathway via PKC and MAPK
PIK3CA|participates_in|Gastrin-CREB signalling pathway via PKC and MAPK
GRM1|causes or contributes to condition|Schizophrenia
PIK3CB|causes or contributes to condition|Schizophrenia
PIK3R2|participates_in|Gastrin-CREB signalling pathway via PKC and MAPK
GRM1|causes or contributes to condition|Alcoholism
PIK3R1|causes or contributes to condition|Alcoholism
AKT3|participates_in|TP53 Regulates Metabolic Genes
TSC1|participates_in|TP53 Regulates Metabolic Genes
GRM1|participates_in|Neurexins and neuroligins
HOMER1|participates_in|Neurexins and neuroligins
PIK3CA|participates_in|CD28 dependent PI3K/Akt signaling
PIK3CA|causes or contributes to condition|head and neck carcinoma
PIK3CB|causes or contributes to condition|head and neck carcinoma
AKT1|participates_in|CD28 dependent PI3K/Akt signaling
PIK3CA|causes or contributes to condition|Hemimegalencephaly
AKT3|causes or contributes to condition|Hemimegalencephaly
PIK3CA|participates_in|Tie2 Signaling
PIK3R2|participates_in|Tie2 Signaling
PIK3CA|participates_in|MET activates PI3K/AKT signaling
PIK3R1|participates_in|MET activates PI3K/AKT signaling
PIK3CB|participates_in|G beta:gamma signalling through PI3Kgamma
AKT2|participates_in|G beta:gamma signalling through PI3Kgamma
AKT1|participates_in|G beta:gamma signalling through PI3Kgamma
AKT3|participates_in|G beta:gamma signalling through PI3Kgamma
SHANK3|participates_in|Neurexins and neuroligins
AKT1|participates_in|PKB-mediated events
TSC1|participates_in|PKB-mediated events
MAPK3|participates_in|Negative feedback regulation of MAPK pathway
MAPK1|participates_in|Negative feedback regulation of MAPK pathway
SYNGAP1|subClassOf|protein_coding_gene
GRIN3B|subClassOf|protein_coding_gene
PIK3R1|participates_in|CD28 dependent PI3K/Akt signaling
AKT3|participates_in|CD28 dependent PI3K/Akt signaling
HOMER1|causes or contributes to condition|Schizophrenia
PIK3CA|causes or contributes to condition|Schizophrenia
HOMER1|subClassOf|protein_coding_gene
PIK3R2|subClassOf|protein_coding_gene
PIK3R1|subClassOf|protein_coding_gene
SHANK3|participates_in|RET signaling
PIK3CA|participates_in|RET signaling
PIK3CB|participates_in|RET signaling
GRIN2A|participates_in|Ras activation upon Ca2+ influx through NMDA receptor
HRAS|participates_in|Ras activation upon Ca2+ influx through NMDA receptor
GRIN2A|participates_in|SOS-mediated signalling
KRAS|participates_in|SOS-mediated signalling
GRIN1|participates_in|SOS-mediated signalling
NRAS|participates_in|SOS-mediated signalling
GRIN1|participates_in|CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde
GRIN2A|participates_in|CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde
GRIN2B|participates_in|CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde
GRIN2D|participates_in|CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde
GRIN1|causes or contributes to condition|Epileptic encephalopathy
SYNGAP1|causes or contributes to condition|Epileptic encephalopathy
GRIN1|subClassOf|protein_coding_gene
GRIN3A|subClassOf|protein_coding_gene
GRIN2C|participates_in|CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde
PIK3R1|participates_in|RET signaling
PIK3R2|participates_in|RET signaling
GRIN2A|causes or contributes to condition|Focal sensory seizure
SYNGAP1|causes or contributes to condition|Focal sensory seizure
GRIN2A|subClassOf|protein_coding_gene
GRIN2B|participates_in|Ras activation upon Ca2+ influx through NMDA receptor
GRIN2B|participates_in|SOS-mediated signalling
GRIN2B|causes or contributes to condition|neurodevelopmental disorder
SYNGAP1|causes or contributes to condition|neurodevelopmental disorder
valproic acid|interacts with|GRIN2B
valproic acid|interacts with|GRIN3B
GRIN2D|participates_in|Ras activation upon Ca2+ influx through NMDA receptor
GRIN2D|participates_in|SOS-mediated signalling
SYNGAP1|participates_in|SOS-mediated signalling
valproic acid|interacts with|GRIN2D
GRIN2D|causes or contributes to condition|Schizophrenia
GRIN3A|causes or contributes to condition|Schizophrenia
SYNGAP1|participates_in|PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases
HRAS|participates_in|PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases
KRAS|participates_in|PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases
GRIN2B|subClassOf|protein_coding_gene
SYNGAP1|causes or contributes to condition|Schizophrenia
valproic acid|interacts with|HRAS
GSK3B|participates_in|Cellular responses to stress
RHEB|participates_in|Cellular responses to stress
KRAS|subClassOf|protein_coding_gene
valproic acid|interacts with|NRAS
valproic acid|interacts with|GRIN2C
