,textlabel,graphid,groupref,centerX,centerY,width,height,color,database,databaseID,geometry
0,PRKAA1,KC75U,f3d5c,99.88016749735203,414.9462365322013,80.0,20.0,#None,Entrez Gene,5562,POINT (99.88016749735203 414.9462365322013)
1,PRKAA2,EPXC0,f3d5c,99.88016749735203,434.9462365322013,80.0,20.0,#None,Entrez Gene,5563,POINT (99.88016749735203 434.9462365322013)
2,PRKAB1,IWY0S,f3d5c,99.88016749735203,454.94623653219975,80.0,20.0,#None,Entrez Gene,5564,POINT (99.88016749735203 454.94623653219975)
3,PRKAB2,Q3LTX,f3d5c,99.88016749735203,474.9462365321991,80.0,20.0,#None,Entrez Gene,5565,POINT (99.88016749735203 474.9462365321991)
4,PRKAG1,I3P2Y,f3d5c,179.7121002704616,426.7529592212753,80.0,20.0,#None,Entrez Gene,5571,POINT (179.7121002704616 426.7529592212753)
5,PRKAG2,CAPIM,f3d5c,179.7121002704616,446.75295922127475,80.0,20.0,#None,Entrez Gene,51422,POINT (179.7121002704616 446.75295922127475)
6,PRKAG3,T8XPU,f3d5c,179.7121002704616,466.75295922127367,80.0,20.0,#None,Entrez Gene,53632,POINT (179.7121002704616 466.75295922127367)
7,CDH1,9214E,c4cf5,99.30107972383477,79.49307396085922,80.0,20.0,#None,Entrez Gene,999,POINT (99.30107972383477 79.49307396085922)
8,CDH10,U6KO0,c4cf5,179.2410025115626,119.2219503167185,80.0,20.0,#None,Entrez Gene,1008,POINT (179.2410025115626 119.2219503167185)
9,CDH11,PCC5T,c4cf5,179.2410025115626,139.22195031671848,80.0,20.0,#None,Entrez Gene,1009,POINT (179.2410025115626 139.22195031671848)
10,CDH12,E8FJY,c4cf5,179.2410025115626,159.22195031671848,80.0,20.0,#None,Entrez Gene,1010,POINT (179.2410025115626 159.22195031671848)
11,CDH13,XJHG2,c4cf5,179.2410025115626,179.2219503167185,80.0,20.0,#None,Entrez Gene,1012,POINT (179.2410025115626 179.2219503167185)
12,CDH15,KMW10,c4cf5,179.2410025115626,199.2219503167185,80.0,20.0,#None,Entrez Gene,1013,POINT (179.2410025115626 199.2219503167185)
13,CDH16,2PRJ7,c4cf5,259.18730201901724,79.30499588062386,80.0,20.0,#None,Entrez Gene,1014,POINT (259.18730201901724 79.30499588062386)
14,CDH17,LHR3T,c4cf5,259.18730201901724,99.30499588062386,80.0,20.0,#None,Entrez Gene,1015,POINT (259.18730201901724 99.30499588062386)
15,CDH18,KLL4W,c4cf5,259.18730201901724,119.30499588062386,80.0,20.0,#None,Entrez Gene,1016,POINT (259.18730201901724 119.30499588062386)
16,CDH19,U1OA8,c4cf5,259.18730201901724,139.30499588062398,80.0,20.0,#None,Entrez Gene,28513,POINT (259.18730201901724 139.30499588062398)
17,CDH2,CVUPF,c4cf5,99.30107972383477,99.49307396085922,80.0,20.0,#None,Entrez Gene,1000,POINT (99.30107972383477 99.49307396085922)
18,CDH20,Q2ZKY,c4cf5,259.18730201901724,159.3049958806241,80.0,20.0,#None,Entrez Gene,28316,POINT (259.18730201901724 159.3049958806241)
19,CDH22,5P7R7,c4cf5,259.18730201901724,179.30499588062412,80.0,20.0,#None,Entrez Gene,64405,POINT (259.18730201901724 179.30499588062412)
20,CDH24,45EK5,c4cf5,259.18730201901724,199.30499588062412,80.0,20.0,#None,Entrez Gene,64403,POINT (259.18730201901724 199.30499588062412)
21,CDH3,3ZI08,c4cf5,99.30107972383477,119.49307396085928,80.0,20.0,#None,Entrez Gene,1001,POINT (99.30107972383477 119.49307396085928)
22,CDH4,W8Y5K,c4cf5,99.30107972383477,139.49307396085928,80.0,20.0,#None,Entrez Gene,1002,POINT (99.30107972383477 139.49307396085928)
23,CDH5,92G0C,c4cf5,99.58619376945232,158.7277678384091,80.0,20.0,#None,Entrez Gene,1003,POINT (99.58619376945232 158.7277678384091)
24,CDH6,A28ED,c4cf5,99.58619376945232,178.7277678384091,80.0,20.0,#None,Entrez Gene,1004,POINT (99.58619376945232 178.7277678384091)
25,CDH7,WFJG3,c4cf5,99.58619376945232,198.72776783840916,80.0,20.0,#None,Entrez Gene,1005,POINT (99.58619376945232 198.72776783840916)
26,CDH8,5I316,c4cf5,179.2410025115626,79.2219503167185,80.0,20.0,#None,Entrez Gene,1006,POINT (179.2410025115626 79.2219503167185)
27,CDH9,2VQ31,c4cf5,179.2410025115626,99.2219503167185,80.0,20.0,#None,Entrez Gene,1007,POINT (179.2410025115626 99.2219503167185)
28,GNA11,V77JP,c3432,753.2298298505353,174.32369588747432,80.0,20.0,#None,Entrez Gene,2767,POINT (753.2298298505353 174.32369588747432)
29,GNAI2,UCM4B,f783f,623.7303597180006,172.43294418902912,80.0,20.0,#None,Entrez Gene,2771,POINT (623.7303597180006 172.43294418902912)
30,GNAI3,HS1PS,f783f,623.7303597180006,192.43294418902914,80.0,20.0,#None,Entrez Gene,2773,POINT (623.7303597180006 192.43294418902914)
31,GNAL,FC9GS,ae045,883.4936733274681,194.79980809435452,80.0,20.0,#None,Entrez Gene,2774,POINT (883.4936733274681 194.79980809435452)
32,GNAQ,K4JXZ,c3432,753.2298298505355,194.32369588747443,80.0,20.0,#None,Entrez Gene,2776,POINT (753.2298298505355 194.32369588747443)
33,GNAS,MWLFM,ae045,883.4936733274681,175.2401407335677,80.00000000000007,20.000000000000018,#None,Entrez Gene,2778,POINT (883.4936733274681 175.2401407335677)
34,PRKACA,1NGT3,d462f,909.5936925593556,390.23614458380393,80.0,20.0,#None,Entrez Gene,5566,POINT (909.5936925593556 390.23614458380393)
35,PRKACB,7129N,d462f,909.5936925593556,410.23614458380393,80.0,20.0,#None,Entrez Gene,5567,POINT (909.5936925593556 410.23614458380393)
36,PRKACG,RXHAN,d462f,909.5936925593556,430.236144583804,80.0,20.0,#None,Entrez Gene,5568,POINT (909.5936925593556 430.236144583804)
37,PRKAR1A,10YME,d462f,989.4290835058578,376.5324408801003,80.0,20.0,#None,Entrez Gene,5573,POINT (989.4290835058578 376.5324408801003)
38,PRKAR1B,1FDWQ,d462f,989.4290835058578,396.5324408801003,80.0,20.0,#None,Entrez Gene,5575,POINT (989.4290835058578 396.5324408801003)
39,PRKAR2A,X31MS,d462f,989.4290835058578,416.5324408801003,80.0,20.0,#None,Entrez Gene,5576,POINT (989.4290835058578 416.5324408801003)
40,PRKAR2B,3S656,d462f,989.4290835058578,436.53244088010035,80.0,20.0,#None,Entrez Gene,5577,POINT (989.4290835058578 436.53244088010035)
41,PRKCA,QZ2VW,a75d0,713.5851524525921,356.584729381923,80.0,20.0,#None,Entrez Gene,5578,POINT (713.5851524525921 356.584729381923)
42,PRKCB,R4244,a75d0,713.5851524525921,376.584729381923,80.0,20.0,#None,Entrez Gene,5579,POINT (713.5851524525921 376.584729381923)
43,PRKCD,F8XZK,a75d0,713.5851524525921,396.58472938192295,80.0,20.0,#None,Entrez Gene,5580,POINT (713.5851524525921 396.58472938192295)
44,PRKCE,0ETBU,a75d0,713.556857906365,416.98509721102295,80.0,20.0,#None,Entrez Gene,5581,POINT (713.556857906365 416.98509721102295)
45,PRKCG,UEZXS,a75d0,713.556857906365,436.985097211023,80.0,20.0,#None,Entrez Gene,5582,POINT (713.556857906365 436.985097211023)
46,PRKCH,LPKTG,a75d0,793.4076041750229,356.9850972110217,80.0,20.0,#None,Entrez Gene,5583,POINT (793.4076041750229 356.9850972110217)
47,PRKCI,9DOE0,a75d0,793.4076041750229,376.98509721102164,80.0,20.0,#None,Entrez Gene,5584,POINT (793.4076041750229 376.98509721102164)
48,PRKCQ,M2BZM,a75d0,793.4076041750229,396.98509721102164,80.0,20.0,#None,Entrez Gene,5588,POINT (793.4076041750229 396.98509721102164)
