source_node,target_node,num_paths
KDR,FGFR3,9
PRKCD,PRKCE,26
PRKCD,RAC1,15
PRKCD,RHOA,14
PRKCD,CDC42,13
PRKCB,PRKCZ,8
PRKCB,PRKCQ,9
PRKCB,PRKCI,2
PRKAB1,YAP1,4
PRKAB1,WWTR1,4
PRKCH,CDC42,7
PRKCH,RHOA,6
PRKCB,PRKCH,7
PRKCD,PRKCG,26
PRKCB,CDC42,10
PRKCD,PRKCQ,16
SMAD3,SMAD2,29
TCF7,CTNNB1,10
TCF7L2,CTNNB1,26
TCF7L2,TCF7,11
TCF7L1,CTNNB1,10
TCF7L1,TCF7,11
TCF7L1,TCF7L2,11
PRKCB,PRKCD,11
PRKAG3,YAP1,4
PRKCB,PRKCG,20
PRKCB,RHOA,14
PRKCD,PRKCH,11
PRKCB,RAC1,13
PRKAG2,WWTR1,6
PRKCQ,RAC1,13
PRKCQ,CDC42,12
PRKCI,PRKCZ,3
PRKCI,PRKCQ,2
PRKCI,RAC1,6
PRKCI,RHOA,4
PRKCI,CDC42,2
LATS2,YAP1,3
GNAQ,PRKCH,9
PRKCH,PRKCZ,4
PRKACA,RAC1,17
PRKAA2,PRKAG2,32
PRKCG,PRKCZ,6
PRKCG,PRKCQ,9
PRKCG,PRKCI,3
PRKCD,PRKCI,3
PRKCG,RAC1,15
PRKCG,RHOA,14
PRKCG,CDC42,12
PRKCE,PRKCZ,5
PRKCE,PRKCQ,12
PRKCE,PRKCI,3
PRKCE,PRKCH,10
PRKCE,PRKCG,21
PRKCE,RAC1,12
PRKCE,RHOA,11
PRKCE,CDC42,11
PRKCD,PRKCZ,7
PRKAG3,WWTR1,4
PRKCQ,PRKCZ,4
PRKCQ,RHOA,12
PRKAG2,PRKAG3,26
PLCB2,PRKCE,6
PRKCZ,CDC42,7
F-actin,LATS2,409
PLCB2,PRKCB,9
PLCB1,PLCB2,27
PLCB1,PRKCZ,5
PLCB1,PRKCQ,6
PLCB1,PRKCI,3
PLCB1,PRKCH,7
PLCB1,PRKCE,6
PRKAA2,PRKAB2,32
PLCB1,PRKCG,14
PLCB1,PRKCD,10
CDH7,NF2,1
PLCB2,PRKCG,12
PLCB2,PRKCD,9
GNA11,PLCB1,13
CDH9,NF2,1
CDH8,CDH9,6
CDH8,NF2,1
CDH7,CDH9,6
CDH7,CDH8,7
CDH5,CDH9,6
PRKCH,RAC1,6
CDH5,CDH8,8
F-actin,LATS1,378
PLCB2,PRKCH,6
CDH15,CDH22,1
CDH4,CDH8,5
PLCB2,PRKCI,2
PRKCG,PRKCH,9
PLCB2,PRKCQ,6
CDH5,CDH7,8
PRKAB2,PRKAG3,26
PRKAB2,YAP1,6
PRKAB2,WWTR1,7
PRKAB1,PRKAG3,26
PRKAB1,PRKAG2,26
PRKAB1,PRKAB2,26
PRKCB,PRKCE,9
PRKAA2,PRKAG3,26
GNA11,GNAQ,22
PRKCH,PRKCI,2
GNA11,PLCB2,12
PRKAA2,PRKAB1,26
PRKAB2,PRKAG2,31
PRKAA2,YAP1,6
WWTR1,YAP1,11
PRKAA1,PRKAG3,20
PRKAA1,PRKAG2,20
PRKAA1,PRKAB2,20
PRKAA1,PRKAB1,22
PRKAA1,PRKAA2,22
PRKAA1,YAP1,4
PRKAA1,WWTR1,4
GNAQ,PLCB2,12
GNAQ,PLCB1,13
PLCB2,PRKCZ,2
PRKAG2,YAP1,7
PRKAA2,WWTR1,7
PRKCZ,RAC1,7
PRKACB,PRKAR2A,37
GNAQ,PRKCQ,8
GNAL,RHOA,5
GNAL,CDC42,7
GNAL,RAC1,4
GNAS,RHOA,5
GNAS,CDC42,10
GNAS,RAC1,6
GNA11,PRKCD,8
GNAQ,PRKCI,2
FGFR3,NF2,3
GNAQ,PRKCB,6
GNAQ,PRKCD,9
GNAQ,PRKCZ,4
GNA11,PRKCH,8
GNA11,PRKCI,2
GNA11,PRKCB,6
GNA11,PRKCQ,8
GNA11,PRKCE,8
GNAQ,PRKCE,8
NTRK1,NF2,3
PRKCZ,RHOA,10
KDR,NF2,3
FLT4,NF2,4
CSF1R,NF2,2
TEK,NF2,4
MET,NF2,8
FLT1,NF2,8
GNAQ,PRKCG,7
KIT,NF2,4
NGFR,NF2,2
GNA11,PRKCG,7
PLCB2,CDC42,4
GNAQ,RHOA,6
GNAQ,CDC42,7
GNAQ,RAC1,6
GNA11,RHOA,7
GNA11,CDC42,6
GNA11,RAC1,9
PLCB1,RHOA,8
PLCB1,CDC42,6
PLCB1,RAC1,6
PLCB2,RHOA,7
PLCB2,RAC1,6
TEAD1,TEAD4,8
TEAD1,TEAD2,8
STK4,LATS1,2
STK4,LATS2,2
STK3,STK4,2
CDH3,CDH4,5
CDH3,NF2,2
STK3,LATS1,3
STK3,LATS2,3
LATS2,LATS1,13
TEAD2,TEAD3,8
GNAS,PRKAR1A,18
GNAS,PRKACA,19
GNAL,GNAS,7
GNAL,PRKAR2B,6
GNAL,PRKAR2A,5
GNAL,PRKAR1B,5
GNAL,PRKAR1A,7
GNAL,PRKACB,9
GNAL,PRKACA,10
LATS1,YAP1,3
LATS1,WWTR1,3
GNAS,PRKAR2A,15
LATS2,WWTR1,3
GNAS,PRKAR2B,16
GNAS,PRKACB,18
TEAD2,TEAD4,8
TEAD3,TEAD4,9
TEAD1,TEAD3,8
GNA11,PRKCZ,5
PRKCH,PRKCQ,10
CDH3,CDH5,5
GNAS,PRKAR1B,15
CDH5,NF2,2
CDH4,CDH9,6
PRKACB,PRKAR2B,37
NF2,STK4,2
CDH4,CDH5,5
PRKACB,PRKAR1A,37
PRKACB,RAC1,17
PRKACB,RHOA,12
PRKACB,CDC42,16
PRKACA,PRKAR2B,51
NGFR,PDGFRB,4
CDH1,CDH11,5
PRKACA,PRKAR2A,37
PRKACA,PRKAR1B,37
GNAI3,RAC1,6
PRKAR1A,CDC42,9
GNAI3,RHOA,7
RAC1,F-actin,1309
RHOA,RAC1,34
RHOA,F-actin,1
CDC42,RAC1,40
CDC42,RHOA,26
CDC42,F-actin,1
GNAI2,GNAI3,27
PRKACA,PRKACB,66
GNAI2,RAC1,6
GNAI2,CDC42,11
TEK,NTRK1,11
PRKACA,PRKAR1A,40
PDGFRB,NTRK1,13
GNAI3,CDC42,7
PDGFRB,TEK,48
MET,TEK,49
PRKAR1A,RHOA,12
CDH1,CDH8,5
CDH1,CDH5,8
CDH1,CDH4,5
CDH1,CDH3,7
CDH1,CDH24,5
CDH1,CDH22,1
CDH1,CDH20,1
CDH1,CDH2,10
CDH1,CDH17,5
CDH1,CDH13,5
CDH1,CDH10,5
PRKAR1A,RAC1,10
CDH1,NF2,6
PRKAR1A,PRKAR1B,37
PRKAR2B,RHOA,9
PRKAR2A,PRKAR2B,37
PRKAR2A,RAC1,10
PRKAR2A,RHOA,8
PRKAR2A,CDC42,8
PRKAR1B,PRKAR2B,37
PRKAR1B,PRKAR2A,37
PRKAR1B,RAC1,10
PRKAR1B,RHOA,8
PRKAR1B,CDC42,8
PRKAR1A,PRKAR2B,39
PRKAR1A,PRKAR2A,37
PRKAR2B,RAC1,13
MET,NTRK1,14
PRKAR2B,CDC42,8
CDH1,CDH7,5
MET,PDGFRB,62
FLT1,MET,7
CDH1,CDH12,5
FGFR3,EGFR,66
KIT,FLT4,4
KIT,FLT1,6
KIT,CSF1R,7
KIT,EGFR,66
FGFR3,NTRK1,12
FGFR3,TEK,48
FGFR3,PDGFRB,62
FGFR3,MET,62
FGFR3,NGFR,4
EGFR,CSF1R,5
FGFR3,FLT4,5
FGFR3,CSF1R,5
FGFR3,KIT,63
KIT,MET,65
KDR,NTRK1,4
KDR,TEK,9
KDR,PDGFRB,9
KDR,MET,14
KDR,NGFR,3
KDR,FLT4,7
KDR,FLT1,15
KDR,CSF1R,2
KDR,EGFR,14
KDR,KIT,8
FGFR3,FLT1,5
EGFR,FLT1,4
EGFR,FLT4,5
KIT,NTRK1,12
KIT,PDGFRB,61
NGFR,NTRK1,4
NGFR,TEK,3
GNAI2,RHOA,11
NGFR,MET,6
FLT4,NTRK1,3
KIT,TEK,49
KIT,NGFR,3
FLT4,TEK,5
FLT4,PDGFRB,5
FLT4,MET,4
FLT4,NGFR,2
FLT1,NTRK1,2
FLT1,TEK,4
FLT1,PDGFRB,4
EGFR,NGFR,5
FLT1,NGFR,2
FLT1,FLT4,7
CSF1R,NTRK1,2
CSF1R,TEK,5
CSF1R,PDGFRB,5
CSF1R,MET,7
CSF1R,NGFR,1
CSF1R,FLT4,2
CSF1R,FLT1,3
EGFR,NTRK1,12
EGFR,TEK,48
EGFR,PDGFRB,62
EGFR,MET,74
CDH1,CDH9,5
NF2,MTOR,8
NF2,STK3,2
CDH2,CDH8,5
CDH2,CDH7,6
CDH2,CDH5,7
CDH2,CDH4,8
CDH2,CDH3,6
CDH13,CDH3,5
CDH24,CDH8,6
CDH2,CDH22,1
PRKACA,CDC42,17
CDH2,CDH20,1
CDH17,CDH9,5
CDH20,CDH22,2
CDH17,CDH5,5
CDH2,CDH9,6
CDH20,CDH24,1
CDH17,CDH3,5
CDH17,CDH24,5
CDH17,CDH22,1
CDH17,CDH20,1
CDH17,CDH2,5
CDH17,NF2,1
CDH15,CDH9,7
CDH15,CDH8,6
CDH2,NF2,2
CDH15,CDH7,6
CDH15,CDH4,8
CDH17,CDH7,6
PDGFRB,NF2,3
CDH17,CDH4,5
CDH15,CDH24,5
CDH17,CDH8,5
CDH20,CDH4,1
CDH4,NF2,1
CDH3,CDH9,5
CDH3,CDH8,5
CDH3,CDH7,5
PLCB1,PRKCB,9
CDH11,CDH13,6
CDH24,CDH9,5
PRKACA,RHOA,13
CDH2,CDH24,5
CDH24,CDH7,6
CDH24,CDH5,6
CDH24,CDH4,5
CDH24,CDH3,5
CDH20,CDH3,1
CDH24,NF2,1
CDH22,CDH8,2
CDH22,CDH7,3
CDH22,CDH5,3
CDH22,CDH4,1
CDH22,CDH3,1
CDH22,CDH24,1
CDH22,NF2,1
CDH20,CDH9,1
CDH20,CDH8,2
CDH20,CDH7,2
CDH20,CDH5,2
CDH15,CDH3,6
CDH4,CDH7,6
CDH22,CDH9,1
PRKACB,PRKAR1B,37
CDH15,CDH20,1
CDH15,CDH17,5
