source|target|source_label|target_label|source_id|target_id
KDR|FGFR3|KDR|FGFR3|http://www.ncbi.nlm.nih.gov/gene/3791|http://www.ncbi.nlm.nih.gov/gene/2261
PRKCD|PRKCE|PRKCD|PRKCE|http://www.ncbi.nlm.nih.gov/gene/5580|http://www.ncbi.nlm.nih.gov/gene/5581
PRKCD|RAC1|PRKCD|RAC1|http://www.ncbi.nlm.nih.gov/gene/5580|http://www.ncbi.nlm.nih.gov/gene/5879
PRKCD|RHOA|PRKCD|RHOA|http://www.ncbi.nlm.nih.gov/gene/5580|http://www.ncbi.nlm.nih.gov/gene/387
PRKCD|CDC42|PRKCD|CDC42|http://www.ncbi.nlm.nih.gov/gene/5580|http://www.ncbi.nlm.nih.gov/gene/998
PRKCB|PRKCZ|PRKCB|PRKCZ|http://www.ncbi.nlm.nih.gov/gene/5579|http://www.ncbi.nlm.nih.gov/gene/5590
PRKCB|PRKCQ|PRKCB|PRKCQ|http://www.ncbi.nlm.nih.gov/gene/5579|http://www.ncbi.nlm.nih.gov/gene/5588
PRKCB|PRKCI|PRKCB|PRKCI|http://www.ncbi.nlm.nih.gov/gene/5579|http://www.ncbi.nlm.nih.gov/gene/5584
PRKAB1|YAP1|PRKAB1|YAP1|http://www.ncbi.nlm.nih.gov/gene/5564|http://www.ncbi.nlm.nih.gov/gene/10413
PRKAB1|WWTR1|PRKAB1|WWTR1|http://www.ncbi.nlm.nih.gov/gene/5564|http://www.ncbi.nlm.nih.gov/gene/25937
PRKCH|CDC42|PRKCH|CDC42|http://www.ncbi.nlm.nih.gov/gene/5583|http://www.ncbi.nlm.nih.gov/gene/998
PRKCH|RHOA|PRKCH|RHOA|http://www.ncbi.nlm.nih.gov/gene/5583|http://www.ncbi.nlm.nih.gov/gene/387
PRKCB|PRKCH|PRKCB|PRKCH|http://www.ncbi.nlm.nih.gov/gene/5579|http://www.ncbi.nlm.nih.gov/gene/5583
PRKCD|PRKCG|PRKCD|PRKCG|http://www.ncbi.nlm.nih.gov/gene/5580|http://www.ncbi.nlm.nih.gov/gene/5582
PRKCB|CDC42|PRKCB|CDC42|http://www.ncbi.nlm.nih.gov/gene/5579|http://www.ncbi.nlm.nih.gov/gene/998
PRKCD|PRKCQ|PRKCD|PRKCQ|http://www.ncbi.nlm.nih.gov/gene/5580|http://www.ncbi.nlm.nih.gov/gene/5588
