S|P|O
RELA|participates_in|Toll Like Receptor 4 (TLR4) Cascade
NFKB1|participates_in|Toll Like Receptor 4 (TLR4) Cascade
RELA|participates_in|MyD88:MAL(TIRAP) cascade initiated on plasma membrane
NFKBIA (human)|participates_in|MyD88:MAL(TIRAP) cascade initiated on plasma membrane
NFKB1|participates_in|Cytosolic sensors of pathogen-associated DNA 
NFKBIA (human)|participates_in|Cytosolic sensors of pathogen-associated DNA 
CHUK|participates_in|Toll Like Receptor 7/8 (TLR7/8) Cascade
RELA|participates_in|Toll Like Receptor 7/8 (TLR7/8) Cascade
CHUK|participates_in|MyD88-independent TLR4 cascade 
NFKBIA (human)|participates_in|MyD88-independent TLR4 cascade 
NFKB1|participates_in|MyD88-independent TLR4 cascade 
CHUK|participates_in|Fc epsilon receptor (FCERI) signaling
IKBKB|participates_in|Fc epsilon receptor (FCERI) signaling
IKBKG|participates_in|MyD88-independent TLR4 cascade 
IKBKB|participates_in|Toll Like Receptor 4 (TLR4) Cascade
IKBKB|participates_in|CLEC7A (Dectin-1) signaling
NFKBIA (human)|participates_in|CLEC7A (Dectin-1) signaling
IKBKB|participates_in|MyD88-independent TLR4 cascade 
IKBKG|participates_in|Toll Like Receptor 7/8 (TLR7/8) Cascade
IKBKG|participates_in|FCERI mediated NF-kB activation
NFKBIA (human)|participates_in|FCERI mediated NF-kB activation
IKBKG|participates_in|DDX58/IFIH1-mediated induction of interferon-alpha/beta
NFKB1|participates_in|DDX58/IFIH1-mediated induction of interferon-alpha/beta
