source_node,target_node,num_paths
AP2A2,GABRA3,5
PTEN,PIK3CA,45
PTEN,PIK3CB,28
PTEN,PIK3R1,35
PTEN,PIK3R2,32
PTEN,PIK3R3,27
PTEN,PIK3CG,10
PIK3CA,GABRA1,3
PIK3CA,AP2A1,11
PIK3CA,AP2A2,13
PIK3CA,GABRA3,2
PIK3CA,GABRA4,2
PIK3CB,AP2A1,11
PIK3CA,GABRA5,3
PIK3CA,GABRB3,4
PIK3CA,GABRG1,2
PIK3CA,GABRG2,2
PIK3CA,GABRG3,2
PIK3CA,GABRD,4
PIK3CA,GABRE,1
PIK3CA,GABRP,2
PIK3CA,GABRQ,3
PIK3CA,PIK3CB,69
PIK3CA,PIK3R1,106
PIK3CA,PIK3R2,74
PIK3CA,PIK3R3,54
PIK3CA,PIK3CG,16
PIK3CA,GABRB1,3
PIK3CB,GABRA1,1
PIK3CB,AP2A2,12
PIK3R1,GABRP,2
PIK3CB,GABRA5,2
PIK3CB,GABRB1,2
PIK3CB,GABRB3,2
PIK3CB,GABRG1,1
PIK3CB,GABRG2,1
PIK3CB,GABRG3,1
PIK3CB,GABRD,2
PIK3CB,GABRE,1
PIK3CB,GABRP,1
PIK3CB,GABRQ,2
PIK3CB,PIK3R1,65
PIK3CB,PIK3R2,65
PIK3CB,GABRA3,1
NGFR,RHOA,7
PIK3CB,PIK3R3,47
PIK3R1,AP2A1,11
PIK3R1,AP2A2,12
PIK3R1,GABRA3,2
PIK3R1,GABRA4,1
PIK3R1,GABRA5,2
PIK3R1,GABRB1,3
PIK3R1,GABRB3,3
PIK3R1,GABRG1,3
PIK3R1,GABRG2,3
PIK3R1,GABRG3,2
PIK3R1,GABRD,2
PIK3R1,GABRE,2
PIK3CB,PIK3CG,15
PIK3R1,GABRA1,3
PIK3R1,GABRQ,1
PIK3R1,PIK3R3,54
PIK3R3,GABRQ,2
PIK3R2,GABRA1,3
PIK3R2,AP2A1,11
PIK3R2,AP2A2,14
PIK3R2,GABRA3,2
PIK3R2,GABRA4,1
PIK3R2,GABRA5,2
PIK3R2,GABRB1,2
PIK3R2,GABRB3,3
PIK3R2,GABRG1,2
PIK3R2,GABRG2,2
PIK3R2,GABRG3,2
