source_node,target_node,num_paths
HSD17B1,Estradiol-17beta,8
SLCO1B3,estrone sulphate,6
SLCO1B3,DHEA-S,7
SLCO1B3,SLCO1A2,10
SLCO1B3,SLCO2B1,6
SLCO1B3,SLCO4A1,5
SLCO1B3,SLCO4C1,5
SLCO4A1,estrone sulphate,4
SLCO4A1,SLCO2B1,5
SLCO4A1,SLCO4C1,5
SLCO4A1,SLCO1A2,5
SLCO2B1,estrone sulphate,5
SLCO2B1,DHEA-S,4
SLCO2B1,SLCO1A2,6
SLCO2B1,SLCO4C1,5
SLCO4C1,estrone sulphate,4
SLCO4C1,SLCO1A2,5
SLCO1A2,estrone sulphate,6
SLCO1A2,DHEA-S,6
SULT1E1,estrone sulphate,4
estrone,DHEA,47
DHEA,Estradiol-17beta,86
HSD17B1,estrone,8
SLCO1B1,SLCO4C1,5
SLCO1B1,SLCO2B1,5
HSD17B1,NADH dianion,7
testosterone,Estradiol-17beta,915
Estradiol-17beta,ESR2,15
Estradiol-17beta,ESR1,9
Estradiol-17beta,estrone,145
estrone,estrone sulphate,1
SULT1E1,DHEA-S,4
SULT1E1,PAP,1
DHEA,DHEA-S,1
SLCO1B1,SLCO4A1,6
DHEA,Androstenedione,20
HSD17B2,NADH dianion,4
HSD17B3,testosterone,9
HSD17B3,NADPH tetraanion,7
HSD17B3,NADP trianion,7
HSD3B1,Androstenedione,5
ESR2,ESR1,24
Androstenedione,testosterone,52
SLCO1B1,estrone sulphate,8
SLCO1B1,DHEA-S,7
SLCO1B1,SLCO1A2,9
SLCO1B1,SLCO1B3,11
SULT1E1,Estradiol-17beta,10
